89;01/05/2024 19:58:26 a  S=4;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;73 3A 1C | Wednesday, 19:58:28;6;GroupValueWrite;LL_ACK
90;01/05/2024 19:58:26 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
91;01/05/2024 19:58:30 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
92;01/05/2024 19:59:07 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
93;01/05/2024 19:59:29 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
94;01/05/2024 19:59:47 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
95;01/05/2024 20:00:00 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
96;01/05/2024 20:00:54 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
97;01/05/2024 20:01:16 a  S=4;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 4E | 18,7;6;GroupValueWrite;LL_ACK
98;01/05/2024 20:02:05 a  S=6;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
99;01/05/2024 20:02:07 a  S=0;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
100;01/05/2024 20:02:10 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 AE | 17,1;6;GroupValueWrite;LL_ACK
101;01/05/2024 20:02:23 a  S=4;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 D0 | 20;6;GroupValueWrite;LL_ACK
102;01/05/2024 20:05:54 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
103;01/05/2024 20:06:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 4E | 18,7;6;GroupValueWrite;LL_ACK
104;01/05/2024 20:07:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
105;01/05/2024 20:07:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
106;01/05/2024 20:07:10 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 B8 | 17,2;6;GroupValueWrite;LL_ACK
107;01/05/2024 20:07:23 a  S=0;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 C6 | 19,9;6;GroupValueWrite;LL_ACK
108;01/05/2024 20:08:26 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;74 08 1C | Wednesday, 20:08:28;6;GroupValueWrite;LL_ACK
